NAICS Sector,Enterprise Size,Firms,Establishments,Employment,"Payroll ($1,000)",Year
Total,Total,"6,022,127","7,601,160","119,917,165","4,792,429,911",2006
,<500 employees,"6,004,056","6,472,647","60,223,740","2,128,793,097",2006
,500-999 employees,"8,974","112,383","6,197,683","247,551,621",2006
,"1,000-2,499 employees","5,336","136,993","8,143,512","348,224,922",2006
,"2,500-4,999 employees","1,877","113,479","6,479,030","304,377,206",2006
,"5,000-9,999 employees",931,"121,673","6,490,547","302,709,162",2006
,"10,000 or more employees",953,"643,985","32,382,653","1,460,773,903",2006
"Ag. Support, Forestry, Fishing, and Hunting",Total,"22,888","23,551","165,661","5,199,819",2006
,<500 employees,"22,797","23,093",[m],(D),2006
,500-999 employees,22,102,[h],(D),2006
,"1,000-2,499 employees",24,148,"10,582","339,392",2006
,"2,500-4,999 employees",24,56,[h],(D),2006
,"5,000-9,999 employees",6,11,206,"8,591",2006
,"10,000 or more employees",15,141,"4,355","249,580",2006
Mining,Total,"20,583","26,248","554,333","37,489,095",2006
,<500 employees,"20,249","21,878","244,538","14,311,939",2006
,500-999 employees,94,424,"32,867","2,436,879",2006
,"1,000-2,499 employees",110,924,"70,354","5,077,908",2006
,"2,500-4,999 employees",46,698,"51,010","3,774,935",2006
,"5,000-9,999 employees",34,"1,023","57,244","4,207,619",2006
,"10,000 or more employees",50,"1,301","98,320","7,679,815",2006
Utilities,Total,"6,554","17,174","614,427","47,692,490",2006
,<500 employees,"6,357","7,853","109,159","5,991,897",2006
,500-999 employees,35,263,"15,324","1,146,159",2006
,"1,000-2,499 employees",53,925,"48,429","3,716,435",2006
,"2,500-4,999 employees",30,"1,381","54,037","4,107,128",2006
,"5,000-9,999 employees",35,"2,473","117,378","9,114,957",2006
,"10,000 or more employees",44,"4,279","270,100","23,615,914",2006
Construction,Total,"791,558","802,349","7,338,799","322,004,134",2006
,<500 employees,"790,464","793,996","6,264,657","262,414,947",2006
,500-999 employees,537,"1,518","289,903","13,654,569",2006
,"1,000-2,499 employees",296,"1,599","264,624","14,399,451",2006
,"2,500-4,999 employees",105,"1,169","150,145","8,755,762",2006
,"5,000-9,999 employees",64,"1,198","138,160","8,480,615",2006
,"10,000 or more employees",92,"2,869","231,310","14,298,790",2006
Manufacturing,Total,"286,039","331,062","13,631,683","620,223,611",2006
,<500 employees,"281,970","295,601","6,056,221","234,966,293",2006
,500-999 employees,"1,754","6,108","931,758","41,160,067",2006
,"1,000-2,499 employees","1,186","7,596","1,252,769","56,999,398",2006
,"2,500-4,999 employees",502,"6,071","1,087,704","52,401,844",2006
,"5,000-9,999 employees",295,"5,146","1,008,862","46,541,082",2006
,"10,000 or more employees",332,"10,540","3,294,369","188,154,927",2006
Wholesale Trade,Total,"334,597","429,952","6,030,647","323,269,989",2006
,<500 employees,"331,538","369,990","3,685,678","175,816,200",2006
,500-999 employees,"1,117","8,519","307,080","17,508,284",2006
,"1,000-2,499 employees",858,"9,914","327,548","20,224,468",2006
,"2,500-4,999 employees",459,"9,788","321,133","19,148,106",2006
,"5,000-9,999 employees",290,"8,682","311,504","20,759,842",2006
,"10,000 or more employees",335,"23,059","1,077,704","69,813,089",2006
Retail Trade,Total,"725,577","1,120,319","15,767,866","368,277,604",2006
,<500 employees,"723,267","810,366","6,314,262","169,093,797",2006
,500-999 employees,885,"18,495","353,969","9,605,972",2006
,"1,000-2,499 employees",606,"26,877","441,374","10,984,985",2006
,"2,500-4,999 employees",282,"26,288","403,768","8,665,249",2006
,"5,000-9,999 employees",204,"36,886","618,575","14,222,621",2006
,"10,000 or more employees",333,"201,407","7,635,918","155,704,980",2006
Transportation and Warehousing,Total,"171,947","215,117","4,306,405","166,173,942",2006
,<500 employees,"169,807","179,620","1,629,628","55,865,115",2006
,500-999 employees,636,"3,863","199,095","7,888,782",2006
,"1,000-2,499 employees",551,"4,493","246,970","9,768,756",2006
,"2,500-4,999 employees",328,"4,760","238,276","9,947,817",2006
,"5,000-9,999 employees",255,"4,962","281,265","11,457,723",2006
,"10,000 or more employees",370,"17,419","1,711,171","71,245,749",2006
Information,Total,"74,952","141,945","3,396,246","213,277,018",2006
,<500 employees,"73,876","80,891","894,006","47,696,808",2006
,500-999 employees,323,"2,478","148,327","10,120,348",2006
,"1,000-2,499 employees",289,"4,432","234,476","16,416,700",2006
,"2,500-4,999 employees",121,"2,142","148,461","12,657,857",2006
,"5,000-9,999 employees",116,"3,417","229,339","14,536,871",2006
,"10,000 or more employees",227,"48,585","1,741,637","111,848,434",2006
Finance and Insurance,Total,"263,028","494,329","6,647,098","480,994,365",2006
,<500 employees,"261,345","312,214","2,183,865","132,989,943",2006
,500-999 employees,542,"11,875","270,144","18,458,257",2006
